pid,fid12,cfps2012_age,cfps2012_gender,qe104,qq301,qz202,sw1r,kr1ckp4
120125102,120125,30,女,在婚（有配偶）,否,6,,不适用
120108102,120108,41,男,在婚（有配偶）,否,7,,不适用
120020101,120020,48,女,在婚（有配偶）,否,7,,不适用
120046103,120046,22,女,在婚（有配偶）,否,7,,不适用
120092104,120092,23,男,未婚,,,高中/中专/技校/职高,
120096102,120096,59,男,在婚（有配偶）,否,7,,不适用
120092102,120092,49,女,在婚（有配偶）,否,7,,不适用
120101101,120101,37,男,在婚（有配偶）,是,7,,不适用
120082104,120082,31,男,在婚（有配偶）,是,7,,不适用
120058101,120058,50,女,在婚（有配偶）,否,6,,不适用
120081103,120081,44,女,在婚（有配偶）,否,7,,不适用
120108103,120108,35,女,在婚（有配偶）,否,7,,不适用
120040104,120040,60,女,丧偶,否,7,,不适用
120087101,120087,21,男,未婚,否,7,,不适用
120009101,120009,48,男,在婚（有配偶）,是,7,,不适用
120107103,120107,24,男,未婚,否,7,,不适用
120009102,120009,21,女,未婚,否,7,,不适用
120097431,120097,24,女,在婚（有配偶）,否,6,,不适用
120013101,120013,35,女,在婚（有配偶）,否,7,,不适用
120086103,120086,35,女,在婚（有配偶）,否,7,,不适用
120100103,120100,23,男,在婚（有配偶）,是,7,,不适用
773240431,773240,22,女,在婚（有配偶）,否,7,,不适用
120107102,120107,47,女,在婚（有配偶）,否,7,,不适用
120046431,120046,23,男,在婚（有配偶）,是,7,,不适用
120104103,120104,32,男,在婚（有配偶）,否,7,,不适用
120101102,120101,36,女,在婚（有配偶）,否,7,,不适用
120095101,120095,34,男,在婚（有配偶）,是,7,,不适用
120082103,120082,54,女,在婚（有配偶）,否,7,,不适用
120013105,120013,34,男,在婚（有配偶）,否,7,,不适用
120100102,120100,48,女,在婚（有配偶）,否,7,,不适用
120097105,120097,74,女,在婚（有配偶）,否,7,,不适用
120051103,120051,17,女,未婚,否,7,,初中
120020102,120020,47,男,在婚（有配偶）,否,7,,不适用
120046101,120046,56,女,在婚（有配偶）,是,7,,不适用
120092103,120092,26,女,未婚,,,不适用,
120104104,120104,30,女,在婚（有配偶）,否,7,,不适用
120096103,120096,32,男,在婚（有配偶）,否,7,,不适用
410735103,410735,36,男,在婚（有配偶）,否,7,初中,不适用
120087102,120087,54,男,在婚（有配偶）,否,6,,不适用
120013102,120013,67,男,在婚（有配偶）,是,7,,不适用
120022101,120022,29,女,在婚（有配偶）,否,7,,不适用
120056101,120056,42,女,在婚（有配偶）,否,7,,不适用
120125103,120125,25,女,在婚（有配偶）,否,6,,不适用
120081102,120081,45,男,在婚（有配偶）,否,5,,不适用
120099101,773240,25,男,在婚（有配偶）,是,7,,不适用
120051101,120051,53,女,在婚（有配偶）,否,7,,不适用
120081101,120081,77,女,丧偶,否,7,,不适用
120096104,120096,31,女,在婚（有配偶）,否,7,,不适用
120131102,120131,42,男,在婚（有配偶）,是,7,,不适用
410735106,410735,30,女,在婚（有配偶）,否,7,初中,不适用
120130101,120130,49,女,在婚（有配偶）,否,7,,不适用
120100104,120100,22,女,在婚（有配偶）,否,7,,不适用
120040101,120040,34,男,在婚（有配偶）,是,7,,不适用
410430102,410430,40,男,在婚（有配偶）,是,7,初中,不适用
120013103,120013,66,女,在婚（有配偶）,否,5,,不适用
120082102,120082,60,男,在婚（有配偶）,是,7,,不适用
120071101,120071,37,女,在婚（有配偶）,否,6,,不适用
120071102,120071,39,男,在婚（有配偶）,否,7,,不适用
120099103,120099,56,女,丧偶,否,4,,不适用
120097102,120097,46,男,在婚（有配偶）,是,7,,不适用
120082101,120082,30,女,在婚（有配偶）,否,7,,不适用
120092101,120092,49,男,在婚（有配偶）,是,7,,不适用
120095102,120095,33,女,在婚（有配偶）,否,6,,不适用
120130103,120130,25,男,未婚,否,7,,不适用
120040102,120040,33,女,在婚（有配偶）,否,7,,不适用
120022102,120022,31,男,在婚（有配偶）,否,7,,不适用
120107101,120107,47,男,在婚（有配偶）,否,7,,不适用
120130102,120130,51,男,在婚（有配偶）,否,7,,不适用
120131101,120131,40,女,在婚（有配偶）,否,6,,不适用
120096101,120096,60,女,在婚（有配偶）,否,6,,不适用
120137101,120137,79,女,丧偶,否,6,,不适用
120100101,120100,48,男,在婚（有配偶）,是,7,,不适用
120097101,120097,24,男,在婚（有配偶）,是,7,,不适用
120056102,120056,45,男,在婚（有配偶）,否,7,,不适用
120081104,120081,21,女,未婚,否,7,,不适用
130896104,130896,23,女,未婚,否,7,不适用,不适用
120097104,120097,75,男,在婚（有配偶）,否,5,,不适用
120125101,120125,56,女,离婚,否,7,,不适用
120063101,120063,32,男,在婚（有配偶）,否,7,,不适用
120058102,120058,50,男,在婚（有配偶）,否,7,,不适用
120097103,120097,47,女,在婚（有配偶）,否,6,,不适用
120086102,120086,62,男,丧偶,是,6,,不适用
120046102,120046,56,男,在婚（有配偶）,否,7,,不适用
130892101,130892,49,女,在婚（有配偶）,否,5,,不适用
130898102,130898,35,男,在婚（有配偶）,否,6,,不适用
130725101,130725,56,女,丧偶,否,5,,不适用
130897101,130897,61,男,在婚（有配偶）,否,6,,不适用
130894106,130894,26,女,在婚（有配偶）,否,6,,不适用
130894105,130894,26,男,未婚,否,5,,不适用
130894103,130894,62,女,在婚（有配偶）,否,5,,不适用
130898105,130898,67,男,在婚（有配偶）,是,6,,不适用
130906102,130906,45,男,在婚（有配偶）,是,5,,不适用
795450432,795450,20,男,未婚,是,6,,不适用
130905101,130905,42,女,在婚（有配偶）,否,6,,不适用
130901101,130901,47,女,在婚（有配偶）,否,6,,不适用
130859105,130859,24,女,在婚（有配偶）,否,5,,不适用
130853101,130853,55,女,在婚（有配偶）,否,6,,不适用
130903103,302806,33,男,离婚,是,5,,不适用
130906104,130906,23,男,在婚（有配偶）,否,6,,不适用
130884104,130884,34,男,在婚（有配偶）,否,5,,不适用
130877103,130877,59,女,在婚（有配偶）,否,6,,不适用
130760103,130760,74,女,在婚（有配偶）,否,4,,不适用
130890105,130890,20,男,未婚,是,5,,不适用
130726101,130726,31,男,在婚（有配偶）,否,5,,不适用
130736101,130736,36,女,在婚（有配偶）,否,6,,不适用
130727102,130727,54,男,在婚（有配偶）,否,6,,不适用
130887102,130887,53,男,在婚（有配偶）,是,5,,不适用
130880102,130880,44,女,在婚（有配偶）,否,5,,不适用
130885101,130885,43,男,在婚（有配偶）,是,5,,不适用
130884101,130884,34,女,在婚（有配偶）,否,6,,不适用
544225433,544225,25,男,在婚（有配偶）,否,5,,不适用
795450431,795450,38,男,在婚（有配偶）,是,5,,不适用
130754101,130754,42,女,在婚（有配偶）,否,6,,不适用
130859101,130859,52,男,在婚（有配偶）,否,6,,不适用
130753101,130753,50,女,在婚（有配偶）,否,5,,不适用
130859102,130859,53,女,在婚（有配偶）,否,5,,不适用
130859104,130859,24,男,未婚,否,6,,不适用
130880103,130880,26,男,在婚（有配偶）,否,5,,不适用
130892103,130892,26,男,在婚（有配偶）,否,6,,不适用
130725104,130725,30,女,在婚（有配偶）,否,6,,不适用
130889104,130889,46,男,在婚（有配偶）,是,5,,不适用
130746102,130746,62,男,在婚（有配偶）,否,5,,不适用
130887103,130887,25,男,在婚（有配偶）,是,6,,不适用
130850101,130850,63,男,在婚（有配偶）,否,5,,不适用
130899101,130899,34,女,在婚（有配偶）,否,6,,不适用
130736102,130736,38,男,在婚（有配偶）,否,6,,不适用
130880101,130880,53,男,在婚（有配偶）,否,5,,不适用
130883103,130883,17,女,未婚,否,6,,初中
130879101,130879,46,女,在婚（有配偶）,否,6,,不适用
130857101,130857,54,女,丧偶,否,5,,不适用
130758101,130758,44,男,在婚（有配偶）,否,6,,不适用
130904101,130904,41,女,在婚（有配偶）,否,5,,不适用
130901105,130901,25,女,在婚（有配偶）,否,6,,不适用
130893101,130893,77,男,在婚（有配偶）,否,4,,不适用
130755101,130755,48,女,在婚（有配偶）,否,6,,不适用
130756101,130756,42,女,在婚（有配偶）,否,5,,不适用
130890101,130890,43,男,在婚（有配偶）,是,6,,不适用
130901104,456505,28,女,在婚（有配偶）,否,7,,不适用
130735102,130735,36,女,在婚（有配偶）,否,6,,不适用
130887101,130887,48,女,在婚（有配偶）,否,6,,不适用
130880431,130880,22,女,在婚（有配偶）,否,5,,不适用
130865104,130865,16,女,未婚,否,5,,不适用
130886104,130886,25,男,在婚（有配偶）,否,6,,不适用
130740101,130740,43,男,在婚（有配偶）,否,6,,不适用
130866101,130866,58,男,未婚,否,5,,不适用
130881102,130881,60,男,在婚（有配偶）,否,5,,不适用
130877102,130877,67,男,在婚（有配偶）,否,4,,不适用
